order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2,1,prior,1,2,8,
2,1,prior,2,3,7,15
2,1,prior,3,3,12,21
2,1,prior,4,4,7,29
2,1,prior,5,4,15,28
2,1,prior,6,2,7,19
2,1,prior,7,1,9,20
2,1,prior,8,1,14,14
2,1,prior,9,1,16,0
3,1,prior,10,4,8,30
3,1,train,11,4,8,14
3,2,prior,1,2,11,
3,2,prior,2,5,10,10
3,2,prior,3,1,10,3
3,2,prior,4,2,10,8
3,2,prior,5,3,11,8
3,2,prior,6,2,9,13
4,2,prior,7,2,12,14
4,2,prior,8,1,15,27
4,2,prior,9,2,9,8
4,2,prior,10,1,11,6
4,2,prior,11,1,10,30
4,2,prior,12,1,9,28
4,2,prior,13,4,11,30
4,2,prior,14,3,10,13
4,2,train,15,1,11,30
4,3,prior,1,1,14,
4,3,prior,2,3,19,9
4,3,prior,3,3,16,21
4,3,prior,4,2,18,20
5,3,prior,5,0,17,12
5,3,prior,6,0,16,7
5,3,prior,7,0,15,7
5,3,prior,8,0,17,7
5,3,prior,9,0,16,7
5,3,prior,10,3,16,17
5,3,prior,11,0,18,11
5,3,prior,12,1,15,15
5,3,test,13,5,15,11
5,4,prior,1,6,11,
5,4,prior,2,4,11,19
5,4,prior,3,4,15,21
5,4,prior,4,5,13,15
5,4,prior,5,5,13,0
5,4,test,6,3,12,30
5,5,prior,1,3,12,
5,5,prior,2,0,16,11
5,5,prior,3,3,18,10
5,5,prior,4,1,18,19
5,5,train,5,0,11,6
5,6,prior,1,5,18,
5,6,prior,2,4,16,6
5,6,prior,3,2,18,12
5,6,test,4,3,16,22
5,7,prior,1,3,9,
5,7,prior,2,1,19,30
6,7,prior,3,0,18,30
6,7,prior,4,2,10,9
6,7,prior,5,5,18,3
7,7,prior,6,1,18,10
7,7,prior,7,1,15,7
8,7,prior,8,2,12,8
9,7,prior,9,6,7,4
9,7,prior,10,1,20,9
9,7,prior,11,0,15,6
9,7,prior,12,0,14,7
9,7,prior,13,5,15,5
9,7,prior,14,1,13,17
9,7,prior,15,3,16,2
9,7,prior,16,0,13,11
9,7,prior,17,0,10,28
9,7,prior,18,0,9,7
9,7,prior,19,3,12,3
9,7,prior,20,3,9,7
9,7,train,21,2,11,6
9,8,prior,1,6,0,
9,8,prior,2,1,8,30
10,8,prior,3,5,0,30
10,8,train,4,1,14,10
10,9,prior,1,1,17,
10,9,prior,2,0,14,6
10,9,prior,3,5,12,30
10,9,train,4,6,10,30
10,10,prior,1,2,14,
10,10,prior,2,5,15,30
10,10,prior,3,3,19,12
10,10,prior,4,3,15,14
10,10,prior,5,5,20,23
10,10,train,6,0,19,30
10,11,prior,1,0,11,
10,11,prior,2,5,11,12
10,11,prior,3,5,10,14
11,11,prior,4,5,13,30
11,11,prior,5,5,11,30
11,11,prior,6,5,11,7
11,11,prior,7,5,9,30
11,11,test,8,6,11,8
12,12,prior,1,1,12,
12,12,prior,2,5,9,30
12,12,prior,3,5,8,14
12,12,prior,4,3,9,26
12,12,prior,5,1,9,30
12,12,test,6,1,20,30
12,13,prior,1,6,12,
12,13,prior,2,0,11,8
12,13,prior,3,6,21,6
12,13,prior,4,1,12,9
12,13,prior,5,0,13,6
12,13,prior,6,0,18,7
12,13,prior,7,0,8,7
12,13,prior,8,6,18,13
12,13,prior,9,6,17,7
13,13,prior,10,6,22,7
13,13,prior,11,0,14,8
13,13,prior,12,6,13,6
13,13,train,13,0,21,8
13,14,prior,1,2,18,
13,14,prior,2,5,8,30
13,14,prior,3,0,14,2
13,14,prior,4,6,8,20
13,14,prior,5,5,8,30
13,14,prior,6,1,8,30
13,14,prior,7,5,10,30
13,14,prior,8,4,8,27
13,14,prior,9,5,9,30
14,14,prior,10,4,21,30
14,14,prior,11,1,5,25
14,14,prior,12,5,9,4
14,14,prior,13,5,5,7
14,14,train,14,2,19,11
14,15,prior,1,5,13,
14,15,prior,2,6,12,15
14,15,prior,3,6,12,7
14,15,prior,4,1,11,16
14,15,prior,5,4,15,17
14,15,prior,6,5,11,8
15,15,prior,7,1,11,17
15,15,prior,8,2,17,8
15,15,prior,9,2,13,7
15,15,prior,10,2,10,21
15,15,prior,11,2,9,14
16,15,prior,12,1,8,6
16,15,prior,13,1,10,14
16,15,prior,14,1,10,14
18,15,prior,15,1,9,7
18,15,prior,16,1,9,7
18,15,prior,17,2,16,8
18,15,prior,18,2,11,7
18,15,prior,19,5,11,3
18,15,prior,20,1,13,10
18,15,prior,21,1,9,7
18,15,prior,22,1,10,14
18,15,test,23,1,9,7
18,16,prior,1,2,8,
